,acousticness,artist_name,artist_uri,danceability,energy,genre,instrumentalness,key,liveness,loudness,mode,popularity,speechiness,tempo,time_signature,track_id,track_name,valence
0,0.0173,Foxing,spotify:artist:2dfxY7YDuYCUtWFzWTS6IR,0.623,0.692,"['alternative emo', 'anthem emo', 'progressive post-hardcore']",0.00883,9,0.124,-7.977,1,54,0.0293,104.977,4,5KzuAU7zxcP0bq0CPdRRyr,The Medic,0.13
1,0.302,FOXWEDDING,spotify:artist:0DHLXYQowVvc8oQxp5Lrk3,0.491,0.702,['wave'],0.841,0,0.0579,-6.909,1,43,0.109,151.159,4,2FhGitc3KC7g8VBQDzKW6E,Try Me,0.334
2,0.0223,Foxx,spotify:artist:5K4W6rqBFWDnAN6FQUkS6x,0.638,0.699,"['dance pop', 'hip pop', 'neo soul', 'pop rap', 'r&b', 'southern hip hop', 'urban contemporary']",0.0,1,0.0917,-5.54,0,75,0.384,92.939,4,1PS1QMdUqOal0ai3Gt7sDQ,Gold Digger,0.66
3,0.0223,Foxx,spotify:artist:5K4W6rqBFWDnAN6FQUkS6x,0.638,0.699,"['dance pop', 'hip pop', 'neo soul', 'pop rap', 'r&b', 'southern hip hop', 'urban contemporary']",0.0,1,0.0917,-5.54,0,75,0.384,92.939,4,1PS1QMdUqOal0ai3Gt7sDQ,Gold Digger,0.66
4,0.2,Foxy,spotify:artist:6vytZ677lz4LzCrUDcDokM,0.7,0.774,"['east coast hip hop', 'hip hop', 'hip pop', 'pop rap', 'r&b', 'rap']",0.0,5,0.404,-4.983,0,64,0.0466,90.0,4,4zYTZvtcww7OWKie7fxA9E,Hit 'Em Up Style (Oops!) - Remix Radio Mix,0.652
5,0.2,Foxy Brown,spotify:artist:6vytZ677lz4LzCrUDcDokM,0.7,0.774,"['east coast hip hop', 'hip hop', 'hip pop', 'pop rap', 'r&b', 'rap']",0.0,5,0.404,-4.983,0,64,0.0466,90.0,4,4zYTZvtcww7OWKie7fxA9E,Hit 'Em Up Style (Oops!) - Remix Radio Mix,0.652
6,0.0339,Foxy Shazam,spotify:artist:5qRXoCC1CDTMTli9gplUvk,0.529,0.882,['piano rock'],0.0,0,0.417,-4.894,1,38,0.0495,140.072,4,5iJU96441eAZ2VdWgxdyJa,Oh Lord,0.278
7,0.101,Foxygen,spotify:artist:55LHFEtIplWhsfyWZUwkf4,0.467,0.645,"['alternative rock', 'chamber pop', 'chillwave', 'folk rock', 'folk-pop', 'freak folk', 'garage rock', 'indie folk', 'indie garage rock', 'indie pop', 'indie rock', 'indietronica', 'lo-fi', 'modern rock', 'neo-psychedelic', 'new rave', 'noise pop']",0.00524,1,0.144,-7.614,0,64,0.0364,127.947,3,51XZD1FCrWyU3dDWJH4nzb,Shuggie,0.71
8,0.718,Foy Vance,spotify:artist:4bUqnkrDrb4f7rqmDR9yDu,0.73,0.403,"['acoustic pop', 'folk-pop', 'indie anthem-folk', 'indie folk', 'neo mellow', 'new americana', 'stomp and holler']",0.00242,4,0.0985,-10.146,1,53,0.0483,124.901,4,3rUw4cRDeYVZhjkUXBnFUQ,She Burns,0.502
9,0.0608,Foyone,spotify:artist:1eYgSi9O2AX4sLhR06HKCz,0.758,0.67,"['spanish hip hop', 'trap latino']",5.23e-05,11,0.256,-7.234,0,38,0.168,135.984,4,2tfwsplQwDouIsY8sS1aGL,"FlaMa (feat. Foyone, Akapellah, Trainer & Big Soto)",0.126
10,4.9e-05,Fozzy,spotify:artist:59CIPNdUfewexxn1CJEdp5,0.391,0.93,"['alternative metal', 'post-grunge', 'wrestling']",0.000569,2,0.674,-4.16,0,61,0.0509,179.99,4,4IkCvLPQfBEclen1NuIDIL,Painless,0.502
11,0.194,Fra Lippo Lippi,spotify:artist:1Oi99c5Uoxbg8nJT8WprBw,0.766,0.519,"['classic opm', 'opm', 'pinoy alternative', 'soft rock']",2.47e-05,0,0.292,-11.411,1,51,0.0288,118.199,4,2VGFj3aOub12LU2g1IJSpx,Stitches And Burns,0.856
12,0.194,Fracking Tunnel,spotify:artist:1Oi99c5Uoxbg8nJT8WprBw,0.766,0.519,"['classic opm', 'opm', 'pinoy alternative', 'soft rock']",2.47e-05,0,0.292,-11.411,1,51,0.0288,118.199,4,2VGFj3aOub12LU2g1IJSpx,Stitches And Burns,0.856
13,0.194,Fractal,spotify:artist:1Oi99c5Uoxbg8nJT8WprBw,0.766,0.519,"['catstep', 'electro house']",2.47e-05,0,0.292,-11.411,1,51,0.0288,118.199,4,212kWfN3DqAEbwTQc07cBo,Sound of Walking Away - Au5 and Fractal Remix,0.856
14,0.194,Fractal,spotify:artist:1Oi99c5Uoxbg8nJT8WprBw,0.766,0.519,"['catstep', 'electro house']",2.47e-05,0,0.292,-11.411,1,51,0.0288,118.199,4,212kWfN3DqAEbwTQc07cBo,Sound of Walking Away - Au5 and Fractal Remix,0.856
15,0.0209,FractaLL,spotify:artist:0NGAZxHanS9e0iNHpR8f2W,0.741,0.764,['brazilian electronica'],0.0619,5,0.0732,-7.63,1,48,0.0443,124.979,4,0MeRyFq5t0F5ZbYsaEHst6,Don't Ya ft. Bea Jourdan,0.16
16,0.115,Fracture Design,spotify:artist:0x9EbuwxixNxrTxrMOljzn,0.547,0.667,"['chillstep', 'deep liquid']",0.407,2,0.232,-7.828,0,30,0.0294,140.019,4,3SJ2MQHCqv12hW5o9FnJmg,Wildlife,0.117
17,0.373,Fractures,spotify:artist:45eNHdiiabvmbp4erw26rg,0.41,0.711,"['indie anthem-folk', 'indie r&b', 'vapor soul']",0.00179,4,0.139,-3.064,1,63,0.0432,159.837,4,6H0zRPEV1ezBHOidNXSt1D,Fractures (feat. Nevve),0.266
18,0.177,fragile.,spotify:artist:23fqKkggKUBHNkbKtXEls4,0.47,0.422,['lo-fi beats'],0.000216,5,0.0879,-7.474,1,64,0.0522,149.505,4,0L6UCE1Y0KX3MF2AtxlntI,Fragile,0.218
19,0.0169,Fragma,spotify:artist:2t9efDsc10DtZpi4LP3BJJ,0.607,0.852,['german techno'],0.603,4,0.364,-5.106,0,49,0.0347,127.996,4,62JXnYxY7u5JVLtpTbnOKw,Toca Me - twoloud Radio Edit,0.718
20,0.0988,Frah Quintale,spotify:artist:29nrwultxQ8jENVmXoyMqK,0.777,0.657,"['italian alternative', 'italian arena pop', 'italian hip hop']",0.0,11,0.0503,-5.997,0,68,0.362,89.798,4,4qB5WfP7AzwPzU4OddDm4b,Chapeau (feat. Frah Quintale),0.865
21,0.00431,Frainbreeze,spotify:artist:0lLY20XpZ9yDobkbHI7u1y,0.762,0.807,['progressive uplifting trance'],0.0688,1,0.378,-1.805,1,39,0.276,108.035,4,08RKIWW3JnWKf91nIowgFU,FrainBreeze,0.787
